Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,date,nom_mois
"2,015E+11",2015,11,13,1055,1,2,3,1.0,3.0,253,"98, ZOLA (RUE EMILE )",M,5043565.0,358236.0,590,2015-11-13,novembre
"2,014E+11",2014,4,5,1500,1,1,1,1.0,6.0,160,LA CAMBUSE,M,4559190.0,195715.0,190,2014-04-05,avril
"2,01E+11",2010,10,4,1230,1,1,1,1.0,1.0,328,,M,4718000.0,597300.0,250,2010-10-04,octobre
"2,015E+11",2015,12,14,1450,1,2,1,1.0,7.0,395,FOCH (AVENUE 2 A 16/1 A,,,,540,2015-12-14,decembre
"2,012E+11",2012,4,19,1205,1,2,1,1.0,2.0,55,BD SCHLOESING,,,,130,2012-04-19,avril
"2,011E+11",2011,4,21,2300,3,1,1,1.0,7.0,208,,M,4343000.0,-24900.0,640,2011-04-21,avril
"2,014E+11",2014,7,13,100,3,1,1,2.0,6.0,48,,M,4811906.0,-388301.0,290,2014-07-13,juillet
"2,01E+11",2010,10,16,1950,5,2,1,1.0,4.0,112,"12, AVENUE LEDRU ROLLIN",,,,750,2010-10-16,octobre
"2,011E+11",2011,11,19,1745,3,1,9,1.0,7.0,99,,M,4707275.0,-82631.0,490,2011-11-19,novembre
"2,01E+11",2010,9,23,1840,1,2,6,1.0,3.0,681,AV MAL FOCH BD ISAMBARD,M,4909270.0,147093.0,270,2010-09-23,septembre
"2,012E+11",2012,8,4,2300,3,1,1,2.0,6.0,72,,M,4450600.0,335700.0,480,2012-08-04,août
"2,01E+11",2010,4,22,800,1,2,1,1.0,6.0,55,"1, PCE DU GENERAL FERRIE",,,,130,2010-04-22,avril
"2,013E+11",2013,12,16,1100,1,1,1,1.0,5.0,86,N31,M,0.0,0.0,510,2013-12-16,decembre
"2,01E+11",2010,7,20,1750,1,2,4,1.0,3.0,75,AVE CHARLES DE GAULLE,,,,330,2010-07-20,juillet
"2,01E+11",2010,10,13,1400,1,1,1,1.0,3.0,473,,M,0.0,0.0,330,2010-10-13,octobre
"2,012E+11",2012,12,6,819,1,2,1,1.0,3.0,55,"1, QAI D ARENC",,,,130,2012-12-06,decembre
"2,01E+11",2010,9,7,833,1,1,1,1.0,2.0,617,RN 104,,,,910,2010-09-07,septembre
"2,011E+11",2011,6,21,1000,1,2,1,1.0,6.0,55,"1, AVE DES CHUTES LAVIE",,,,130,2011-06-21,juin
"2,01E+11",2010,9,13,1840,1,2,3,1.0,3.0,366,"0, NICOLAS ORESME (BOULE",,,,140,2010-09-13,septembre
"2,012E+11",2012,5,28,1903,1,2,1,1.0,4.0,563,"16, KOFLER (BOULEVARD E.",,,,380,2012-05-28,mai
"2,011E+11",2011,10,5,1715,1,2,1,1.0,3.0,88,"43, THIERS (AV.)",,,,60,2011-10-05,octobre
"2,013E+11",2013,4,22,915,1,1,5,1.0,3.0,347,"LD ""LE RENAUDERIE""",M,0.0,0.0,790,2013-04-22,avril
"2,01E+11",2010,11,16,1330,1,1,3,8.0,3.0,91,,M,4727100.0,680900.0,250,2010-11-16,novembre
"2,013E+11",2013,12,30,1630,2,2,1,8.0,3.0,243,41 Route de Thizy,M,0.0,0.0,690,2013-12-30,decembre
"2,015E+11",2015,8,3,1515,1,1,1,1.0,6.0,126,,M,0.0,0.0,202,2015-08-03,août
"2,013E+11",2013,5,10,1640,1,2,1,1.0,4.0,27,GRASSE AVENUE DE,,,,60,2013-05-10,mai
"2,015E+11",2015,11,7,1140,1,2,1,1.0,2.0,395,MAZAGRAN (RUE),M,4868977.0,617603.0,540,2015-11-07,novembre
"2,013E+11",2013,1,7,2105,5,2,1,1.0,6.0,28,"1, GARE S.N.C.F. (PLACE",M,4416156.0,462648.0,300,2013-01-07,janvier
"2,012E+11",2012,12,15,1955,5,2,1,1.0,6.0,187,"268, CHARLIEU (RUE DE )",M,4605918.0,408777.0,420,2012-12-15,decembre
"2,015E+11",2015,4,28,1445,1,2,1,7.0,3.0,268,Rue de  la Lys,M,5065600.0,276400.0,590,2015-04-28,avril
"2,01E+11",2010,4,21,1236,1,2,3,1.0,6.0,35,"face n?66, G?n?ral de Ga",,,,920,2010-04-21,avril
"2,015E+11",2015,2,22,1700,2,1,1,4.0,7.0,15,,M,0.0,0.0,30,2015-02-22,fevrier
"2,012E+11",2012,6,27,1805,1,2,1,1.0,6.0,378,"27, FOCH AVENUE N?1-137",,,,590,2012-06-27,juin
"2,011E+11",2011,12,12,1330,1,1,1,1.0,1.0,383,,M,0.0,0.0,600,2011-12-12,decembre
"2,011E+11",2011,12,6,1700,2,2,1,2.0,1.0,275,MONTUPET (CHEMIN DE),M,4557238.0,345699.0,190,2011-12-06,decembre
"2,014E+11",2014,12,17,1034,1,2,3,3.0,6.0,722,13 rue FRANCS BOISIERS,M,4938360.0,332427.0,20,2014-12-17,decembre
"2,014E+11",2014,7,3,1915,1,1,1,1.0,1.0,44,,M,0.0,0.0,720,2014-07-03,juillet
"2,011E+11",2011,12,5,1320,1,2,1,1.0,6.0,123,"521, LIBERATION AVENUE D",,,,60,2011-12-05,decembre
"2,015E+11",2015,11,30,215,3,2,1,1.0,6.0,188,246Route de Vic le Comte,M,4566719.0,325845.0,630,2015-11-30,novembre
"2,014E+11",2014,5,23,1145,1,2,1,1.0,6.0,474,RUE DU DOCTEUR DEUTSCH,M,0.0,0.0,670,2014-05-23,mai
"2,011E+11",2011,8,26,1230,1,2,3,1.0,2.0,31,"110, POMPIDOU (AVENUE GE",,,,190,2011-08-26,août
"2,01E+11",2010,10,30,740,2,2,1,1.0,3.0,121,"670, LAFON (RUE DU PASTE",,,,820,2010-10-30,octobre
"2,01E+11",2010,11,13,1800,2,1,1,1.0,3.0,200,,M,4485700.0,-68900.0,330,2010-11-13,novembre
"2,012E+11",2012,4,14,1800,1,2,9,1.0,6.0,540,"., TRYSTRAM JEAN-BAPTIST",,,,590,2012-04-14,avril
"2,012E+11",2012,8,9,2300,5,2,2,1.0,3.0,88,"0, VERNIER (R.)",,,,60,2012-08-09,août
"2,013E+11",2013,8,16,2350,5,2,1,1.0,6.0,173,BOULEVARD DE LA SALINE,M,4965790.0,-166499.0,500,2013-08-16,août
"2,013E+11",2013,9,17,1050,1,2,3,1.0,3.0,155,ROUSTAN AV.ET BD DES FRE,,,,60,2013-09-17,septembre
"2,012E+11",2012,4,5,730,1,2,1,1.0,6.0,457,PRUNES RUELLE A,,,,590,2012-04-05,avril
"2,011E+11",2011,6,12,700,2,1,9,1.0,1.0,199,,M,0.0,0.0,330,2011-06-12,juin
"2,011E+11",2011,10,15,1815,1,1,1,1.0,7.0,47,,M,0.0,0.0,710,2011-10-15,octobre
"2,01E+11",2010,12,28,830,1,1,1,2.0,5.0,508,,M,0.0,0.0,390,2010-12-28,decembre
"2,012E+11",2012,6,25,1200,1,1,1,1.0,5.0,310,,M,4372171.0,-134637.0,400,2012-06-25,juin
"2,01E+11",2010,3,12,2231,5,1,1,9.0,7.0,2,AUTOROUTE A86,,,,920,2010-03-12,mars
"2,012E+11",2012,11,19,1700,2,2,1,2.0,2.0,350,"65, MOSELLE BOULEVARD N?",,,,590,2012-11-19,novembre
"2,013E+11",2013,1,11,1810,2,2,1,1.0,4.0,63,"19, BD DU PRESIDENT WILS",,,,330,2013-01-11,janvier
"2,013E+11",2013,5,6,1,3,2,1,1.0,7.0,148,paches,M,4433100.0,16500.0,470,2013-05-06,mai
"2,014E+11",2014,8,8,2145,5,1,1,2.0,3.0,277,,M,4598213.0,-52086.0,170,2014-08-08,août
"2,015E+11",2015,1,29,600,3,2,1,8.0,1.0,311,ROUTE DE LARPS,M,0.0,0.0,260,2015-01-29,janvier
"2,015E+11",2015,6,24,1105,1,1,2,1.0,3.0,362,MICHAUD DE LAURE,M,4495000.0,494910.0,260,2015-06-24,juin
"2,013E+11",2013,9,23,1409,1,2,3,1.0,6.0,174,"3, WENTZEL (RUE JACQUES)",M,4972220.0,492757.0,80,2013-09-23,septembre
"2,012E+11",2012,9,1,2125,5,2,1,1.0,6.0,83,"11, MER (PROMENADE DE LA",,,,60,2012-09-01,septembre
"2,013E+11",2013,9,5,1730,1,2,1,1.0,6.0,88,"14, MAHONIAS (R. DES)",,,,60,2013-09-05,septembre
"2,011E+11",2011,2,5,1630,1,1,3,1.0,3.0,357,,M,4553650.0,553582.0,380,2011-02-05,fevrier
"2,01E+11",2010,7,14,1800,1,1,1,1.0,1.0,55,,M,4623000.0,98348.0,870,2010-07-14,juillet
"2,013E+11",2013,3,30,1215,1,2,1,1.0,3.0,80,38 RUE porte de dessus,M,4328985.0,64495.0,310,2013-03-30,mars
"2,01E+11",2010,4,4,1305,1,1,1,2.0,6.0,39,ROCADE A 630,,,,330,2010-04-04,avril
"2,011E+11",2011,9,7,2045,5,2,3,1.0,3.0,317,Avenue g?n?ral De Gaulle,M,0.0,0.0,380,2011-09-07,septembre
"2,011E+11",2011,6,18,245,3,1,1,2.0,7.0,570,,M,0.0,0.0,250,2011-06-18,juin
"2,012E+11",2012,9,21,415,3,1,1,1.0,6.0,299,N51,M,0.0,0.0,510,2012-09-21,septembre
"2,012E+11",2012,5,10,1635,1,2,1,1.0,3.0,647,"85, FAMECK (RUE DE)",,,,570,2012-05-10,mai
"2,014E+11",2014,10,2,1515,1,1,1,1.0,2.0,8,,M,0.0,0.0,670,2014-10-02,octobre
"2,015E+11",2015,12,1,2230,3,1,1,1.0,6.0,117,CAEN (ROUTE DE),,,,140,2015-12-01,decembre
"2,014E+11",2014,9,23,1645,1,1,1,1.0,3.0,192,,M,0.0,0.0,290,2014-09-23,septembre
"2,011E+11",2011,3,5,1445,1,2,9,1.0,3.0,256,130 ham le village,M,0.0,0.0,700,2011-03-05,mars
"2,012E+11",2012,3,28,1600,1,2,1,1.0,3.0,159,"0, ALBERT 1ER (AVENUE)",,,,60,2012-03-28,mars
"2,01E+11",2010,2,10,1015,1,2,6,1.0,6.0,119,AVE RENE CASSAGNE,,,,330,2010-02-10,fevrier
"2,013E+11",2013,5,22,1420,1,2,1,1.0,6.0,55,RUE EDOUARD CALVET,,,,130,2013-05-22,mai
"2,01E+11",2010,3,16,1455,1,2,1,1.0,2.0,114,"27, RUE DU FAUBOURG SAIN",,,,750,2010-03-16,mars
"2,015E+11",2015,8,14,1530,1,1,1,1.0,7.0,178,,M,0.0,0.0,480,2015-08-14,août
"2,01E+11",2010,5,15,1735,1,1,1,1.0,5.0,112,A4,,,,750,2010-05-15,mai
"2,011E+11",2011,12,8,1845,3,2,1,1.0,6.0,109,Avenue Paul Jullien,M,0.0,0.0,130,2011-12-08,decembre
"2,012E+11",2012,11,12,650,2,2,1,1.0,2.0,262,VEYRET (RUE DU REC DE),,,,110,2012-11-12,novembre
"2,013E+11",2013,5,30,1615,1,2,1,1.0,2.0,29,54 rue lucien michel,M,4937494.0,590243.0,540,2013-05-30,mai
"2,013E+11",2013,4,16,1720,1,2,1,1.0,2.0,31,"19, MIRABEAU (BOULEVARD)",,,,190,2013-04-16,avril
"2,012E+11",2012,3,20,1658,1,2,1,1.0,3.0,480,"0, PONT A MOUSSON (RUE D",M,4909591.0,613962.0,570,2012-03-20,mars
"2,012E+11",2012,2,9,2005,5,1,3,1.0,3.0,109,"15, BOULEVARD DE LAUNAY",,,,440,2012-02-09,fevrier
"2,012E+11",2012,6,8,1400,1,2,4,2.0,1.0,216,,M,4978530.0,461580.0,80,2012-06-08,juin
"2,01E+11",2010,3,22,1100,1,2,1,1.0,6.0,216,17 rte La Rochelambert,M,4513800.0,381300.0,430,2010-03-22,mars
"2,013E+11",2013,10,12,1000,1,1,1,1.0,3.0,227,,M,0.0,0.0,270,2013-10-12,octobre
"2,014E+11",2014,4,19,1700,1,1,1,1.0,7.0,550,,M,4850228.0,492757.0,520,2014-04-19,avril
"2,015E+11",2015,7,4,1930,1,2,1,1.0,3.0,55,"321, JEAN QUEILLAU",M,4333448.0,538528.0,130,2015-07-04,juillet
"2,01E+11",2010,6,20,545,2,2,1,1.0,6.0,510,Boulevard de la PAIX,M,4905440.0,202210.0,950,2010-06-20,juin
"2,011E+11",2011,9,19,1630,1,2,1,1.0,3.0,214,5 Rue Claude DEBUSSY,M,4846898.0,100885.0,280,2011-09-19,septembre
"2,015E+11",2015,8,8,1700,1,2,1,1.0,6.0,512,BRAME (AVENUE JULES),,,,590,2015-08-08,août
"2,011E+11",2011,8,15,2330,3,2,1,1.0,7.0,336,9300,M,4291538.0,183134.0,90,2011-08-15,août
"2,013E+11",2013,3,20,1730,1,1,1,1.0,6.0,416,"Lieu dit ""Le Grd HAZARD""",M,5070596.0,252565.0,590,2013-03-20,mars
"2,011E+11",2011,5,24,1945,2,1,3,1.0,3.0,47,Carc?,M,4802107.0,-172154.0,350,2011-05-24,mai
"2,01E+11",2010,6,2,1645,1,2,4,1.0,2.0,463,"00, FAUBOURG (RUE DU )",,,,570,2010-06-02,juin
"2,011E+11",2011,9,14,1700,1,2,1,1.0,3.0,180,5 Rue de la mairie,M,4743578.0,-10370.0,490,2011-09-14,septembre
"2,011E+11",2011,6,19,1330,1,2,1,1.0,5.0,106,12 RUE VICTOR HUGO,M,4567730.0,118762.0,870,2011-06-19,juin
"2,013E+11",2013,8,24,1845,1,2,1,1.0,6.0,339,route  saint rigomer,M,0.0,0.0,720,2013-08-24,août
"2,012E+11",2012,11,28,1145,1,1,2,8.0,3.0,156,,M,0.0,0.0,790,2012-11-28,novembre
"2,012E+11",2012,7,18,1229,1,2,6,1.0,3.0,254,GRAND LAUNAY (RUE DU),M,4857206.0,-385724.0,290,2012-07-18,juillet
"2,01E+11",2010,5,28,1825,1,2,1,1.0,7.0,305,"N?ant, OUDALLE (ROUTE)",,,,760,2010-05-28,mai
"2,01E+11",2010,9,24,2030,5,2,1,1.0,4.0,115,QUAI D ISSY LES MOULINEA,,,,750,2010-09-24,septembre
"2,01E+11",2010,1,27,1410,1,2,6,1.0,6.0,387,"59, QUATORZE JUILLET (RU",M,4829250.0,407393.0,100,2010-01-27,janvier
"2,011E+11",2011,8,25,1230,1,2,1,1.0,1.0,544,Rue de Bourbonne,M,4788577.0,577977.0,520,2011-08-25,août
"2,012E+11",2012,4,10,1830,1,2,1,1.0,3.0,316,rue de bretagne,M,4727284.0,-107981.0,490,2012-04-10,avril
"2,01E+11",2010,4,24,1615,1,2,2,1.0,6.0,55,"45, BD NATIONAL",,,,130,2010-04-24,avril
"2,015E+11",2015,6,19,900,1,1,1,1.0,2.0,249,RD 152,M,4864100.0,210400.0,910,2015-06-19,juin
"2,01E+11",2010,6,26,500,5,2,1,1.0,6.0,122,"161, CHINON (BOULEVARD D",M,4735080.0,67873.0,370,2010-06-26,juin
"2,015E+11",2015,5,10,20,5,2,1,1.0,7.0,93,"12, EDOUARD VII - N?1A 6",M,4863333.0,-205874.0,350,2015-05-10,mai
"2,013E+11",2013,5,17,1630,1,2,1,8.0,3.0,98,04 route d'Etourvy,M,0.0,0.0,100,2013-05-17,mai
"2,013E+11",2013,8,23,945,1,1,1,1.0,5.0,138,,M,0.0,0.0,40,2013-08-23,août
"2,016E+11",2016,7,13,1815,1,2,1,1.0,1.0,141,route de givors,M,0.0,0.0,690,2016-07-13,juillet
"2,013E+11",2013,2,23,2330,3,1,1,4.0,6.0,293,,M,4359718.0,272037.0,340,2013-02-23,fevrier
"2,015E+11",2015,2,18,630,3,1,1,1.0,7.0,7,"1, ATLANTIQUE  AVENUE DE",M,4746894.0,-58756.0,490,2015-02-18,fevrier
"2,012E+11",2012,8,23,1400,1,1,1,1.0,3.0,317,d48,M,4808400.0,710800.0,680,2012-08-23,août
"2,014E+11",2014,7,11,1430,1,1,1,2.0,1.0,185,,M,4446360.0,95365.0,470,2014-07-11,juillet
"2,01E+11",2010,10,5,915,1,2,2,8.0,6.0,383,"0, RUE COIGNET",,,,690,2010-10-05,octobre
"2,014E+11",2014,12,20,1815,5,2,1,2.0,6.0,53,LYON (AVENUE DE ? N  PAI,,,,10,2014-12-20,decembre
"2,014E+11",2014,11,14,1845,3,1,1,2.0,1.0,357,,M,5038310.0,213774.0,620,2014-11-14,novembre
"2,013E+11",2013,3,28,1420,1,2,1,2.0,3.0,323,"34, MICHAUD (RUE VICTOR)",M,4441800.0,72532.0,470,2013-03-28,mars
"2,012E+11",2012,7,27,1930,1,2,1,1.0,3.0,27,AVENUE G?N?RAL DE GAULLE,,,,130,2012-07-27,juillet
"2,015E+11",2015,9,15,1810,1,2,2,1.0,3.0,221,"0, PAPIN (RUE DENIS )",M,4917040.0,-26585.0,140,2015-09-15,septembre
"2,01E+11",2010,9,22,1700,1,2,2,1.0,6.0,104,"35, RUE RAMBUTEAU",,,,750,2010-09-22,septembre
"2,01E+11",2010,8,25,1745,1,2,2,1.0,6.0,88,"0, VOIE ROMAINE (AV. DE",,,,60,2010-08-25,août
"2,015E+11",2015,3,22,2140,5,2,1,1.0,3.0,55,"3, SAINT BARNABE (AVENUE",M,4330396.0,540723.0,130,2015-03-22,mars
"2,011E+11",2011,2,2,2045,3,1,1,8.0,3.0,24,,M,0.0,0.0,560,2011-02-02,fevrier
"2,015E+11",2015,7,15,1642,1,1,1,1.0,7.0,261,,M,0.0,0.0,370,2015-07-15,juillet
"2,01E+11",2010,8,12,1945,1,1,1,1.0,6.0,175,,M,4463490.0,196785.0,460,2010-08-12,août
"2,01E+11",2010,8,1,2330,3,1,1,1.0,6.0,226,,M,0.0,0.0,590,2010-08-01,août
"2,01E+11",2010,4,13,1745,1,2,1,1.0,6.0,40,"6 bis, ERNEST RENAN",,,,920,2010-04-13,avril
"2,011E+11",2011,10,28,614,5,2,1,1.0,5.0,56,"sans, HELVETIE AVENUE D'",,,,250,2011-10-28,octobre
"2,01E+11",2010,2,25,1920,5,2,1,2.0,4.0,76,"67, STALINGRAD (AV DE)",M,4878350.0,236714.0,940,2010-02-25,fevrier
"2,013E+11",2013,6,21,100,5,1,1,1.0,6.0,112,,M,0.0,0.0,740,2013-06-21,juin
"2,01E+11",2010,11,9,1828,5,1,1,2.0,3.0,76,AUTOROUTE A6B,,,,940,2010-11-09,novembre
"2,012E+11",2012,8,17,2015,1,1,1,1.0,1.0,671,,M,0.0,0.0,20,2012-08-17,août
"2,012E+11",2012,7,1,1955,1,2,1,1.0,6.0,512,"200, BEAUREPAIRE (BOULEV",,,,590,2012-07-01,juillet
"2,01E+11",2010,10,28,1027,1,2,7,1.0,6.0,231,REPUBLIQUE (DE LA) (PLAC,M,4732650.0,504400.0,210,2010-10-28,octobre
"2,01E+11",2010,6,26,1345,1,2,5,1.0,1.0,48,BOISSIERE / BRIAND,M,4887810.0,245735.0,930,2010-06-26,juin
"2,01E+11",2010,4,27,1815,1,2,1,1.0,6.0,114,"68, RUE D ALESIA",,,,750,2010-04-27,avril
"2,013E+11",2013,6,23,1630,1,1,1,1.0,6.0,268,LIEU-DIT MONTPINOUX,M,4514000.0,410325.0,430,2013-06-23,juin
"2,01E+11",2010,11,8,755,2,2,3,3.0,6.0,249,RUE EDOUARD HERRIOT,,,,330,2010-11-08,novembre
"2,01E+11",2010,8,27,1030,1,1,3,1.0,3.0,143,LDT HARDEUIL,M,4418850.0,27981.0,470,2010-08-27,août
"2,01E+11",2010,7,31,1305,1,2,4,2.0,5.0,118,DEPARTEMENTAL 212 (ROUTE,,,,770,2010-07-31,juillet
"2,013E+11",2013,1,1,1023,1,2,1,1.0,6.0,218,AVENUE DES MATIGNONS,M,4883790.0,-157174.0,500,2013-01-01,janvier
"2,015E+11",2015,10,13,1750,1,2,3,8.0,3.0,132,ROME,M,5051135.0,285494.0,620,2015-10-13,octobre
"2,011E+11",2011,7,24,530,1,2,2,1.0,3.0,88,"0, BARLA (RUE)",,,,60,2011-07-24,juillet
"2,01E+11",2010,6,26,1800,1,1,3,1.0,3.0,252,,M,4366570.0,223136.0,810,2010-06-26,juin
"2,014E+11",2014,11,12,300,4,1,6,1.0,6.0,243,,M,4390562.0,-90444.0,400,2014-11-12,novembre
"2,013E+11",2013,11,7,1315,1,1,1,1.0,7.0,365,26365,M,0.0,0.0,260,2013-11-07,novembre
"2,013E+11",2013,7,3,730,1,2,1,2.0,6.0,57,RD 2532N,,,,260,2013-07-03,juillet
"2,01E+11",2010,1,19,1715,1,2,1,1.0,6.0,106,BOULEVARD RASPAIL,,,,750,2010-01-19,janvier
"2,012E+11",2012,5,17,1830,1,1,1,1.0,6.0,170,,M,0.0,0.0,370,2012-05-17,mai
"2,011E+11",2011,7,3,1715,1,1,1,1.0,6.0,13,,M,4786000.0,350800.0,890,2011-07-03,juillet
"2,011E+11",2011,3,26,130,5,2,1,1.0,7.0,30,quai henri CHARDON,M,0.0,0.0,500,2011-03-26,mars
"2,015E+11",2015,11,16,1600,1,2,3,1.0,3.0,149,ROUERGUE (ALLEE DU),M,4360948.0,133000.0,310,2015-11-16,novembre
"2,012E+11",2012,9,27,1315,1,2,2,1.0,3.0,342,rue du G de Gaulle,M,5017434.0,405959.0,590,2012-09-27,septembre
"2,016E+11",2016,1,11,1445,1,1,1,1.0,6.0,19,,M,4429028.0,473043.0,840,2016-01-11,janvier
"2,01E+11",2010,11,13,630,1,2,5,2.0,2.0,116,"1, AVENUE DE LA GRANDE A",,,,750,2010-11-13,novembre
"2,01E+11",2010,2,6,900,1,1,1,2.0,3.0,369,,M,0.0,0.0,170,2010-02-06,fevrier
"2,016E+11",2016,9,30,1600,1,1,1,2.0,4.0,156,Les Rabreti?res,M,4646902.0,-142129.0,850,2016-09-30,septembre
"2,012E+11",2012,3,22,1650,1,2,1,1.0,6.0,31,"11, ALAIN (RUE EMILE)",M,4514370.0,153900.0,190,2012-03-22,mars
"2,012E+11",2012,9,15,1900,1,2,1,1.0,6.0,55,"00, BD JEAN MOULIN",,,,130,2012-09-15,septembre
"2,01E+11",2010,4,6,925,1,2,5,1.0,3.0,109,PLACE DIAGHILEV,,,,750,2010-04-06,avril
"2,014E+11",2014,2,23,1145,1,1,2,1.0,3.0,517,,M,4952216.0,113623.0,760,2014-02-23,fevrier
"2,011E+11",2011,12,5,911,1,2,2,2.0,5.0,231,PREMIER CONSUL (DU) (AVE,,,,210,2011-12-05,decembre
"2,015E+11",2015,11,25,1015,1,1,1,1.0,6.0,295,,M,4723300.0,499100.0,210,2015-11-25,novembre
"2,013E+11",2013,12,4,639,5,2,1,1.0,3.0,5,RN 96 (ROUTE NATIONALE ),,,,130,2013-12-04,decembre
"2,01E+11",2010,9,9,1545,1,2,1,1.0,3.0,75,"1, LIBERTE (AVE DE LA)",M,4334620.0,545680.0,130,2010-09-09,septembre
"2,014E+11",2014,7,4,945,1,1,1,1.0,3.0,445,,M,4632460.0,530827.0,10,2014-07-04,juillet
"2,01E+11",2010,2,28,645,2,1,1,6.0,6.0,278,,M,0.0,0.0,700,2010-02-28,fevrier
"2,015E+11",2015,9,15,1137,1,2,1,1.0,7.0,57,AVENUE  PREMIERE ARMEE,M,4503390.0,506490.0,260,2015-09-15,septembre
"2,012E+11",2012,6,14,700,1,1,1,1.0,1.0,193,,M,4329330.0,105431.0,310,2012-06-14,juin
"2,015E+11",2015,11,30,930,1,2,1,1.0,6.0,445,ALLEE DU GRAND TOUR,M,4329691.0,-37899.0,640,2015-11-30,novembre
"2,015E+11",2015,7,13,1815,1,2,1,1.0,6.0,61,LE MOULIN,M,0.0,0.0,560,2015-07-13,juillet
"2,01E+11",2010,8,7,1145,1,2,1,1.0,1.0,270,ROUTE DE LA COURBATI?RE,M,4539000.0,553200.0,380,2010-08-07,août
"2,013E+11",2013,5,6,1650,1,2,1,1.0,3.0,4,DEUXIEME AVENUE,,,,60,2013-05-06,mai
"2,011E+11",2011,7,16,1500,1,2,1,2.0,6.0,415,"1, ABATTOIR RUE DE L'",,,,170,2011-07-16,juillet
"2,012E+11",2012,3,28,1840,1,2,1,1.0,6.0,63,"12, RUE BILLAUDEL",,,,330,2012-03-28,mars
"2,015E+11",2015,2,2,730,3,2,1,1.0,1.0,490,RD 977  CHESTRES,M,0.0,0.0,80,2015-02-02,fevrier
